Date (UTC),Country (Epicenter),Region (Epicenter),Magnitude,Type,Origin,Depth (km),Intensity (MMI / JMA),Fatalities,Injuries,displaced,Impact value (D),buildings damaged,buildings destroyed,Tsunami height
11/7/2018,Indonesia,Sulawesi Barat,5.2,EQ Swarm,tectonic,,,0,2,,0.178510728,,,--
11/8/2018,Poland,Silesia,3.9,Earthquake,mining,1,,0,0,0,0.457827787,200,0,--
11/11/2018,Peru,Cuzco,4,Earthquake,tectonic,18,,0,0,0,0.008044782,2,0,--
11/11/2018,India,Maharashtra,3.2,EQ Swarm,tectonic,,,0,0,,0.107361392,30,,--
11/14/2018,Russia,Kamtchatka,6.1,Earthquake,tectonic,54,VI,0,0,0,0.004041018,1,0,--
11/14/2018,Indonesia,West Nusa Tenggara,5.1,Earthquake,tectonic,,,1,0,0,0.301029996,0,0,--
11/14/2018,Indonesia,Sulawesi Barat,5.5,EQ Swarm,tectonic,,,8,6,78,1.196015103,329,22,--
11/16/2018,Argentina,Neuquen,3.4,Earthquake,tectonic,12,,0,0,0,0.056115912,8,2,--
11/16/2018,Iran,Kerman,5.1,Earthquake,tectonic,20,,0,0,0,0.523363111,250,0,--
11/18/2018,Italy,Emilia Romagna,4.2,Earthquake,tectonic,43,,0,0,0,0.004041018,1,0,--
11/20/2018,Peru,Ancash,5.7,Earthquake,tectonic,36,,0,19,4,0.778324706,4,2,--
11/20/2018,USA,Idaho,4.1,Earthquake,tectonic,13,,0,0,0,0.004041018,1,0,--
11/21/2018,France,Rhone-Alpes,4.2,Earthquake,tectonic,12,,0,0,,0.056989867,15,,--
11/22/2018,Iran,Hormozgan,4.7,Earthquake,tectonic,20,,0,1,,0.098363311,,,--
11/24/2018,India,Maharashtra,3.3,EQ Swarm,tectonic,,,0,0,0,0.056989867,15,0,--
11/24/2018,Venezuela,Trujillo,5,Earthquake,tectonic,20,,0,3,100,0.693744189,42,31,--
11/25/2018,Russia,Krasnodar,4.3,Earthquake,tectonic,,,0,0,0,0.004041018,1,0,--
11/25/2018,Iran,Kermanshah,6.3,Earthquake,tectonic,,,0,971,2000,2.525829386,3500,600,--
11/26/2018,Mexico,Coahuila,4.1,Earthquake,tectonic,,,0,0,0,0.019839261,5,0,--
11/28/2018,Venezuela,Trujillo,4.4,Earthquake,aftershock,,,0,2,0,0.178510728,,0,--
11/28/2018,Afghanistan,Baglan,4.9,Earthquake,tectonic,22,,0,9,,0.714503034,,60,--
11/30/2018,Argentina,Buenos Aires,3.8,Earthquake,tectonic,25,,0,0,0,0.019839261,5,0,--
11/30/2018,USA,Alaska,7.1,Earthquake,tectonic,41,VIII,0,117,,1.983204714,6000,297,--
12/3/2018,Iran,Isfahan,4.1,Earthquake,tectonic,,,0,0,0,0.019839261,5,0,--
12/5/2018,France,New Caledonia,7.5,Earthquake,tectonic,10,,0,0,0,0,0,0,2 m
12/5/2018,Venezuela,Yaracuy,4.6,Earthquake,tectonic,6,,0,0,,0.019839261,5,,--
12/5/2018,Chile,Valparaiso,5.4,Earthquake,tectonic,38,,0,0,0,0.004041018,1,0,--
12/6/2018,Indonesia,West Nusa Tenggara,5.3,Earthquake,tectonic,,,,14,,0.662384928,4,,--
12/12/2018,Taiwan,Hualien,4.9,Earthquake,tectonic,12,6,0,0,0,0.004041018,1,0,--
12/12/2018,USA,Tennessee,4.4,Earthquake,tectonic,9,V,0,0,0,0.004041018,1,0,--
12/15/2018,Vanuatu,Ambrym,5.6,EQ swarm,volcanic,5,,0,,685,1.165047151,100,10,--
12/16/2018,China,Sichuan,5.4,Earthquake,tectonic,12,VII,0,17,663,1.942658346,6693,246,--
12/16/2018,Indonesia,Sulawesi Selatan,4.2,Earthquake,tectonic,,,0,0,0,0.008044782,2,0,--
12/17/2018,Pakistan,Beluchistan,4.5,Earthquake,tectonic,,,0,0,0,0.038811687,10,0,--
12/17/2018,China,Guizhou,2.4,Earthquake,tectonic,,,0,0,0,0.008044782,2,0,--
12/20/2018,Canada,Quebec,3.8,Earthquake,mining,3,,0,0,0,0.004041018,1,0,--
12/20/2018,Argentina,Neuquen,3.2,Earthquake,tectonic,,,0,0,0,0.019839261,5,0,--
12/22/2018,Mozambique,,5.5,Earthquake,tectonic,8,,0,11,500,1.283736715,319,108,--
12/23/2018,China,Tibet,5.8,Earthquake,tectonic,,,0,,,0.01594325,4,,--
12/26/2018,Italy,Sicily,4.9,Earthquake,volcanic,1,VIII,0,28,1096,1.959269312,5048,505,--
12/27/2018,Venezuela,Carabobo,5.5,Earthquake,tectonic,10,VII ,,,,0.286640842,100,,--
12/28/2018,Indonesia,Papua Barat,5.7,Earthquake,tectonic,41,,0,0,0,0.019839261,5,0,--
12/29/2018,Mexico,Nuevo Leon,4.2,Earthquake,,,,,,,0.012011972,3,,--
12/30/2018,Thailand,Kanchanaburi,4.9,Earthquake,tectonic,,,0,0,0,0.004041018,1,0,--
